pid,lang_t0_z,lang_t1_z,inh_t0_z,inh_t1_z
P00001,0.01,0.01,-0.61,-0.34
P00002,-0.81,-0.50,2.11,1.52
P00003,-1.36,-0.75,-0.42,-0.08
P00004,-0.87,-0.39,0.18,0.01
P00005,0.34,-0.41,-0.47,-0.35
P00006,-0.30,0.29,-0.30,0.02
P00007,-1.25,,-1.19,
P00008,-0.65,-1.28,-0.61,-0.89
P00009,-1.42,-1.21,0.07,0.12
P00010,-0.37,-1.05,-1.43,-0.78
P00011,-0.27,0.04,0.35,-0.13
P00012,-1.50,-1.85,-1.54,-0.67
P00013,0.74,-0.04,0.23,-0.74
P00014,0.98,1.34,1.52,2.19
P00015,-0.65,0.30,1.03,-0.19
P00016,-1.60,-0.97,-2.67,-2.55
P00017,1.52,0.97,-0.15,0.22
P00018,-1.15,,-0.51,
P00019,0.74,-0.06,0.10,0.30
P00020,-0.85,,-0.57,
P00021,-0.29,-0.80,-1.33,0.25
P00022,0.00,0.81,-0.64,0.02
P00023,-1.92,,-0.98,
P00024,1.07,1.05,-0.11,-0.69
P00025,-0.71,-1.16,-0.59,-1.11
P00026,-0.10,0.53,0.59,0.82
P00027,1.16,0.82,0.47,0.98
P00028,-0.27,-0.73,-0.88,-1.37
P00029,-1.30,-0.71,-0.14,1.42
P00030,-0.14,0.05,0.75,0.52
P00031,1.51,0.70,2.20,1.35
P00032,-0.84,-1.43,-1.66,-2.23
P00033,1.31,0.96,0.82,0.89
P00034,-0.74,-0.67,-0.44,-0.61
P00035,0.29,0.14,-0.86,-0.67
P00036,-1.90,-1.32,0.26,-1.08
P00037,-2.33,-2.25,-1.14,-0.85
P00038,1.73,1.50,0.67,0.01
P00039,-1.75,-0.21,-2.16,-1.59
P00040,0.27,1.48,-0.26,0.44
P00041,-1.22,-0.49,0.88,0.84
P00042,-1.39,-0.68,1.69,-0.94
P00043,-1.92,-1.35,-0.22,-1.37
P00044,-1.06,-1.09,-0.69,0.11
P00045,0.14,0.07,0.09,-0.02
P00046,1.82,1.16,0.64,1.10
P00047,0.10,0.10,-0.07,0.56
P00048,-0.36,-0.49,1.38,0.26
P00049,0.21,0.28,1.77,1.81
P00050,0.52,0.31,-1.39,-0.43
P00051,0.98,1.26,-0.20,-0.26
P00052,0.32,1.10,-1.11,-1.82
P00053,-0.04,-0.66,0.47,-0.65
P00054,-1.21,-1.15,-1.30,0.83
P00055,-1.54,-0.91,0.56,-0.85
P00056,0.65,0.26,0.84,0.38
P00057,-0.33,-1.87,0.33,-0.13
P00058,-0.93,-0.54,-0.98,-0.90
P00059,2.19,1.86,1.81,0.35
P00060,-0.64,0.09,0.72,0.71
P00061,-0.72,-0.62,-0.88,-1.91
P00062,-0.19,,-0.42,
P00063,-0.37,-0.70,-0.65,-0.74
P00064,-0.14,0.90,0.21,0.24
P00065,0.93,0.39,-0.01,-0.58
P00066,0.68,0.68,-0.19,0.59
P00067,1.00,0.37,1.32,-0.40
P00068,0.36,-0.01,-0.70,-0.57
P00069,0.73,0.86,0.71,1.38
P00070,0.23,-0.48,-0.24,0.48
P00071,0.42,0.02,-0.74,-0.79
P00072,0.70,0.14,0.04,0.21
P00073,2.03,1.09,0.70,0.46
P00074,0.38,0.74,1.13,-0.41
P00075,-0.11,0.33,-1.60,-1.11
P00076,1.26,1.16,-1.02,0.35
P00077,0.03,1.97,-0.73,-0.04
P00078,0.11,0.76,-0.45,-1.20
P00079,-2.10,-0.97,0.01,-1.59
P00080,-2.21,-1.47,-0.36,-1.26
P00081,0.54,1.44,-0.23,0.61
P00082,-1.20,-1.00,-0.84,-0.83
P00083,-0.78,,-0.28,
P00084,0.75,,0.49,
P00085,-0.49,-0.57,0.70,-0.00
P00086,-0.66,-0.03,-0.15,-0.50
P00087,1.28,1.08,0.92,-0.03
P00088,0.25,-0.16,-0.28,0.19
P00089,-0.43,-0.31,-0.28,0.34
P00090,-0.84,0.49,0.23,0.37
P00091,0.50,0.45,-1.57,-2.28
P00092,0.19,0.74,0.89,-0.64
P00093,-0.58,0.78,0.03,0.42
P00094,-0.83,-1.10,-1.57,-0.44
P00095,-2.80,-1.90,-0.81,-0.52
P00096,-0.12,0.75,-0.33,0.94
P00097,-0.12,-1.45,0.67,-1.28
P00098,-1.52,-0.69,2.01,-0.24
P00099,-0.66,0.14,-0.57,-0.07
P00100,-0.18,-0.69,0.28,-0.44
P00101,0.84,0.54,0.84,0.13
P00102,-0.08,-0.09,1.13,-0.54
P00103,-0.92,,-0.79,
P00104,1.22,0.98,1.49,1.85
P00105,1.92,1.82,0.12,-0.40
P00106,-0.28,0.74,2.52,1.05
P00107,-0.65,-0.24,-0.49,-0.54
P00108,2.51,2.41,1.36,0.92
P00109,-1.78,,-1.79,
P00110,0.73,1.04,0.02,-0.12
P00111,0.30,0.80,-1.40,0.36
P00112,1.04,0.97,-0.43,1.36
P00113,1.12,0.21,-0.09,0.18
P00114,0.58,0.82,1.02,0.93
P00115,1.15,1.51,0.78,0.28
P00116,0.65,0.14,0.18,0.91
P00117,0.20,0.39,-1.01,-0.53
P00118,0.11,-0.40,1.07,-0.24
P00119,0.25,-0.32,-0.40,-0.95
P00120,-1.12,-1.03,-1.65,-0.34
P00121,-0.05,1.09,-0.09,0.57
P00122,0.78,0.04,0.91,0.82
P00123,-0.33,0.19,-0.76,-0.92
P00124,-0.23,-1.15,0.49,0.67
P00125,0.96,0.81,0.90,0.48
P00126,-0.31,-0.48,0.75,1.69
P00127,0.74,0.82,0.68,0.52
P00128,0.47,0.97,1.38,1.68
P00129,-0.60,-0.62,0.05,-0.69
P00130,0.28,0.09,-0.73,-0.74
P00131,-1.86,,-1.28,
P00132,0.78,0.10,-1.28,-0.36
P00133,0.42,-0.38,0.17,0.37
P00134,-0.68,-0.12,-0.61,0.03
P00135,-0.65,-0.34,-0.46,-0.78
P00136,-0.56,-0.29,0.79,-0.99
P00137,1.97,1.35,-0.06,1.24
P00138,-0.51,0.15,-0.56,-1.57
P00139,0.26,,-0.17,
P00140,-1.02,-0.40,-0.01,0.33
P00141,0.08,0.52,0.10,0.80
P00142,-0.57,-0.64,-0.23,0.47
P00143,2.30,2.06,0.15,1.30
P00144,-1.09,0.36,0.57,-0.14
P00145,0.00,-1.49,0.11,-1.28
P00146,1.20,0.29,-0.09,-0.46
P00147,0.58,1.35,0.72,1.30
P00148,0.94,0.38,-0.18,-0.39
P00149,-0.17,,-0.51,
P00150,0.19,-0.09,0.43,1.03
P00151,0.01,0.05,0.97,1.04
P00152,1.15,0.65,0.97,2.25
P00153,1.16,1.11,0.88,0.24
P00154,0.58,0.57,0.11,0.29
P00155,2.40,2.34,1.04,-0.92
P00156,-1.98,-1.30,-1.28,-0.05
P00157,-0.16,0.03,-1.31,-1.41
P00158,0.43,-0.12,0.09,0.40
P00159,0.80,0.38,-0.39,-0.46
P00160,-2.09,-1.04,-0.44,-0.59
P00161,-0.28,-0.93,0.23,-0.13
P00162,-0.97,,-1.70,
P00163,-0.97,-0.73,-0.53,-0.15
P00164,0.89,0.89,0.50,0.73
P00165,0.99,1.63,0.94,-0.31
P00166,-1.11,-0.34,-0.76,-1.78
P00167,-0.99,,1.34,
P00168,-0.64,-0.57,-1.06,0.33
P00169,-1.02,-0.07,-1.64,-0.16
P00170,-0.76,-0.85,-0.95,-1.43
P00171,-1.16,-0.66,-0.34,0.80
P00172,-0.59,-1.30,-2.67,-0.22
P00173,1.06,0.66,1.44,1.53
P00174,-0.48,-0.40,-0.69,-1.14
P00175,-0.95,-0.17,-1.42,-3.05
P00176,0.52,1.22,2.44,-0.17
P00177,-0.40,0.80,0.41,0.12
P00178,-0.84,-0.66,1.36,0.48
P00179,0.34,-0.13,-0.39,0.03
P00180,0.09,-0.02,-0.13,0.35
P00181,-0.88,-1.84,-1.80,-0.77
P00182,0.04,-0.34,-1.50,-1.04
P00183,0.44,0.27,0.07,0.89
P00184,-0.76,-1.65,-0.62,-1.76
P00185,0.68,1.36,0.38,-0.21
P00186,0.16,0.53,-0.30,1.22
P00187,-1.55,0.05,-1.77,-1.19
P00188,-0.30,-0.05,-0.16,0.15
P00189,-1.07,-1.48,-1.69,-1.70
P00190,0.24,-0.70,0.39,0.81
P00191,-0.40,0.08,0.64,0.56
P00192,-0.24,-0.70,-0.20,-0.59
P00193,-0.97,-1.07,-0.02,0.41
P00194,-0.04,0.67,1.10,-0.00
P00195,-0.34,0.02,1.41,0.06
P00196,2.69,2.07,0.55,0.76
P00197,0.17,1.13,1.14,0.77
P00198,-0.29,-0.23,0.14,0.28
P00199,-0.24,-0.48,0.61,1.32
P00200,-0.72,-0.69,-2.10,-1.80
P00201,-2.12,-1.49,0.48,0.11
P00202,-0.50,-1.23,-1.52,1.60
P00203,1.79,,-1.04,
P00204,0.85,0.96,-0.16,0.28
P00205,-1.33,-0.98,-0.09,0.44
P00206,1.63,0.83,-0.10,-0.36
P00207,-0.08,0.14,-0.06,-1.17
P00208,0.57,1.51,1.12,0.66
P00209,-0.25,-0.24,0.09,0.12
