pid,sess_done,sess_rate,sess_dur_min,adhere_rate
P00001,75,0.833,15.0,0.996
P00002,82,0.911,19.9,0.952
P00003,68,0.756,18.3,0.915
P00004,90,1.000,17.9,0.934
P00005,75,0.833,23.1,0.983
P00006,67,0.744,22.1,0.859
P00007,79,0.878,17.9,0.945
P00008,69,0.767,19.2,0.925
P00009,84,0.933,16.1,0.931
P00010,73,0.811,21.8,0.907
P00011,82,0.911,19.3,0.912
P00012,66,0.733,13.9,0.967
P00013,64,0.711,19.0,0.967
P00014,71,0.789,19.0,0.881
P00015,87,0.967,20.4,0.821
P00016,78,0.867,19.8,0.943
P00017,82,0.911,18.3,0.904
P00018,71,0.789,16.8,0.996
P00019,80,0.889,18.7,0.866
P00020,77,0.856,18.6,0.965
P00021,82,0.911,13.8,0.874
P00022,87,0.967,19.5,0.804
P00023,71,0.789,18.1,0.894
P00024,85,0.944,17.1,0.910
P00025,82,0.911,22.8,0.929
P00026,76,0.844,16.2,0.963
P00027,84,0.933,16.8,0.940
P00028,90,1.000,19.9,0.944
P00029,90,1.000,18.9,0.826
P00030,90,1.000,17.0,0.778
P00031,71,0.789,20.9,0.883
P00032,81,0.900,16.8,0.921
P00033,74,0.822,20.1,0.878
P00034,89,0.989,20.5,0.915
P00035,89,0.989,16.3,0.854
P00036,73,0.811,14.8,0.917
P00037,86,0.956,19.7,0.981
P00038,69,0.767,18.9,0.902
P00039,86,0.956,22.0,0.802
P00040,77,0.856,18.4,0.946
P00041,69,0.767,17.8,0.719
P00042,86,0.956,16.2,0.980
P00043,90,1.000,11.8,0.889
P00044,65,0.722,16.3,0.978
P00045,69,0.767,20.1,0.925
P00046,76,0.844,20.7,0.889
P00047,72,0.800,17.5,0.969
P00048,78,0.867,17.8,0.768
P00049,83,0.922,18.7,0.860
P00050,74,0.822,15.5,0.962
P00051,86,0.956,16.7,0.943
P00052,85,0.944,21.7,0.878
P00053,77,0.856,18.0,0.745
P00054,73,0.811,15.8,0.874
P00055,64,0.711,18.0,0.918
P00056,76,0.844,17.7,0.891
P00057,90,1.000,17.8,0.956
P00058,84,0.933,19.5,0.942
P00059,71,0.789,14.8,0.890
P00060,80,0.889,16.1,0.891
P00061,73,0.811,23.7,0.785
P00062,84,0.933,18.3,0.964
P00063,71,0.789,22.6,0.898
P00064,86,0.956,20.4,0.694
P00065,77,0.856,20.2,0.906
P00066,87,0.967,17.8,0.922
P00067,84,0.933,14.9,0.883
P00068,72,0.800,19.5,0.823
P00069,78,0.867,17.6,0.908
P00070,72,0.800,15.8,0.806
P00071,70,0.778,18.4,0.897
P00072,90,1.000,15.4,0.909
P00073,79,0.878,11.9,0.967
P00074,83,0.922,19.2,0.694
P00075,87,0.967,17.4,0.917
P00076,79,0.878,18.1,0.830
P00077,82,0.911,19.7,0.991
P00078,90,1.000,18.1,0.947
P00079,90,1.000,18.3,0.913
P00080,89,0.989,22.8,0.795
P00081,90,1.000,20.0,0.917
P00082,89,0.989,18.8,0.928
P00083,77,0.856,18.5,0.984
P00084,62,0.689,19.3,0.841
P00085,73,0.811,18.3,0.983
P00086,78,0.867,16.2,0.853
P00087,79,0.878,18.8,0.835
P00088,89,0.989,16.8,0.968
P00089,78,0.867,20.1,0.891
P00090,76,0.844,13.9,0.738
P00091,75,0.833,17.9,0.884
P00092,84,0.933,18.7,0.815
P00093,68,0.756,13.3,0.968
P00094,70,0.778,19.3,0.931
P00095,83,0.922,17.3,0.881
P00096,65,0.722,19.9,0.895
P00097,71,0.789,19.2,0.905
P00098,78,0.867,21.2,0.935
P00099,58,0.644,17.9,0.928
P00100,86,0.956,17.1,0.922
P00101,90,1.000,15.5,0.860
P00102,89,0.989,20.5,0.947
P00103,77,0.856,21.0,0.800
P00104,81,0.900,15.7,0.855
P00105,70,0.778,14.7,0.890
P00106,87,0.967,17.4,0.938
P00107,72,0.800,16.8,0.955
P00108,86,0.956,17.2,0.885
P00109,75,0.833,23.8,0.917
P00110,69,0.767,17.6,0.976
P00111,88,0.978,20.3,0.839
P00112,84,0.933,18.5,0.805
P00113,78,0.867,17.5,0.787
P00114,74,0.822,20.3,0.818
P00115,74,0.822,22.1,0.853
P00116,77,0.856,16.4,0.895
P00117,81,0.900,19.6,0.952
P00118,74,0.822,20.4,0.898
P00119,66,0.733,13.6,0.963
P00120,74,0.822,15.7,0.902
P00121,77,0.856,21.9,0.881
P00122,85,0.944,16.2,0.915
P00123,77,0.856,19.2,0.971
P00124,74,0.822,17.3,0.888
P00125,58,0.644,14.0,0.961
P00126,83,0.922,17.7,0.816
P00127,77,0.856,19.5,0.905
P00128,78,0.867,18.1,0.891
P00129,77,0.856,18.2,0.946
P00130,66,0.733,18.8,0.838
P00131,76,0.844,20.3,0.962
P00132,65,0.722,20.4,0.950
P00133,79,0.878,19.4,0.980
P00134,78,0.867,19.0,0.807
P00135,84,0.933,15.0,0.930
P00136,89,0.989,14.5,0.955
P00137,66,0.733,20.7,0.932
P00138,90,1.000,17.6,0.958
P00139,87,0.967,17.2,0.572
P00140,70,0.778,18.6,0.858
P00141,80,0.889,17.4,0.821
P00142,76,0.844,21.8,0.834
P00143,80,0.889,15.6,0.975
P00144,82,0.911,21.1,0.792
P00145,77,0.856,18.6,0.972
P00146,80,0.889,19.5,0.936
P00147,72,0.800,14.9,0.900
P00148,60,0.667,20.1,0.903
P00149,65,0.722,19.4,0.881
P00150,88,0.978,20.8,0.947
P00151,71,0.789,15.7,0.799
P00152,87,0.967,14.7,0.840
P00153,75,0.833,19.7,0.969
P00154,90,1.000,17.8,0.905
P00155,84,0.933,15.7,0.984
P00156,89,0.989,21.0,0.950
P00157,85,0.944,15.9,0.922
P00158,87,0.967,18.7,0.943
P00159,81,0.900,17.7,0.988
P00160,89,0.989,16.4,0.974
P00161,81,0.900,16.8,0.977
P00162,69,0.767,16.2,0.914
P00163,80,0.889,22.9,0.959
P00164,80,0.889,21.2,0.941
P00165,71,0.789,19.7,0.969
P00166,64,0.711,18.8,0.935
P00167,88,0.978,15.3,0.873
P00168,90,1.000,18.5,0.879
P00169,77,0.856,17.0,0.883
P00170,70,0.778,17.3,0.857
P00171,81,0.900,16.0,0.950
P00172,78,0.867,22.8,0.980
P00173,60,0.667,17.1,0.896
P00174,82,0.911,20.4,0.891
P00175,90,1.000,19.4,0.928
P00176,72,0.800,16.2,0.801
P00177,78,0.867,25.0,0.963
P00178,62,0.689,16.0,0.897
P00179,72,0.800,22.2,0.922
P00180,74,0.822,16.4,0.902
P00181,88,0.978,19.3,0.955
P00182,74,0.822,14.6,0.926
P00183,75,0.833,17.6,0.905
P00184,90,1.000,13.7,0.911
P00185,85,0.944,17.0,0.944
P00186,67,0.744,17.3,0.864
P00187,80,0.889,18.6,0.981
P00188,69,0.767,21.7,0.978
P00189,75,0.833,17.7,0.895
P00190,90,1.000,16.6,0.820
P00191,86,0.956,15.4,0.655
P00192,65,0.722,21.7,0.799
P00193,62,0.689,22.7,0.964
P00194,71,0.789,19.3,0.864
P00195,77,0.856,18.1,0.943
P00196,89,0.989,17.6,0.911
P00197,71,0.789,19.8,0.742
P00198,80,0.889,18.9,0.943
P00199,80,0.889,21.7,0.893
P00200,71,0.789,14.8,0.927
P00201,80,0.889,19.0,0.942
P00202,79,0.878,17.2,0.922
P00203,68,0.756,13.8,0.929
P00204,77,0.856,17.5,0.945
P00205,69,0.767,21.8,0.930
P00206,64,0.711,17.7,0.847
P00207,81,0.900,20.9,0.944
P00208,81,0.900,15.0,0.868
P00209,90,1.000,14.8,0.797
P00210,86,0.956,22.2,0.908
P00211,66,0.733,17.4,0.790
P00212,86,0.956,17.5,0.885
P00213,75,0.833,22.5,0.951
P00214,83,0.922,17.2,0.917
P00215,71,0.789,17.7,0.937
P00216,78,0.867,21.4,0.910
P00217,74,0.822,18.5,0.927
P00218,90,1.000,18.5,0.969
P00219,58,0.644,18.6,0.921
P00220,75,0.833,18.5,0.676
P00221,79,0.878,22.6,0.965
P00222,78,0.867,19.8,0.800
P00223,79,0.878,14.9,0.928
P00224,79,0.878,17.3,0.959
P00225,86,0.956,18.5,0.838
P00226,84,0.933,19.1,0.850
P00227,82,0.911,18.2,0.895
P00228,78,0.867,15.9,0.954
P00229,64,0.711,17.5,0.918
P00230,85,0.944,19.8,0.977
P00231,81,0.900,17.9,0.848
P00232,88,0.978,20.7,0.951
P00233,86,0.956,22.2,0.951
P00234,77,0.856,19.1,0.880
P00235,84,0.933,19.2,0.881
P00236,77,0.856,19.0,0.871
P00237,89,0.989,19.1,0.791
P00238,89,0.989,13.0,0.938
P00239,88,0.978,19.6,0.855
P00240,86,0.956,18.5,0.787
P00241,82,0.911,16.3,0.932
P00242,79,0.878,17.3,0.868
P00243,73,0.811,19.7,0.951
P00244,72,0.800,19.1,0.867
P00245,85,0.944,14.5,0.903
P00246,73,0.811,15.4,0.955
P00247,90,1.000,12.5,0.869
P00248,86,0.956,18.3,0.937
P00249,74,0.822,17.3,0.925
P00250,88,0.978,20.1,0.966
P00251,80,0.889,21.2,0.819
P00252,81,0.900,17.3,0.897
P00253,75,0.833,15.8,0.984
P00254,90,1.000,15.1,0.915
P00255,83,0.922,20.8,0.905
P00256,86,0.956,14.2,0.957
P00257,84,0.933,18.9,0.960
P00258,87,0.967,15.3,0.957
P00259,84,0.933,19.1,0.960
P00260,90,1.000,19.0,0.901
P00261,82,0.911,17.9,0.749
P00262,90,1.000,19.4,0.981
P00263,79,0.878,22.3,0.969
P00264,78,0.867,21.1,0.943
P00265,77,0.856,20.8,0.905
P00266,70,0.778,21.8,0.741
P00267,88,0.978,21.5,0.951
P00268,77,0.856,20.6,0.877
P00269,89,0.989,22.9,0.925
P00270,73,0.811,18.1,0.856
P00271,67,0.744,16.0,0.873
P00272,86,0.956,16.7,0.876
P00273,85,0.944,19.8,0.906
P00274,72,0.800,18.9,0.983
P00275,73,0.811,18.5,0.930
P00276,79,0.878,21.3,0.931
P00277,84,0.933,24.2,0.897
P00278,90,1.000,17.8,0.910
P00279,82,0.911,18.6,0.891
P00280,80,0.889,21.5,0.882
P00281,81,0.900,21.5,0.935
P00282,72,0.800,15.5,0.977
P00283,69,0.767,23.0,0.918
P00284,84,0.933,14.8,0.905
P00285,76,0.844,18.6,0.972
P00286,67,0.744,20.0,0.893
P00287,90,1.000,21.9,0.823
P00288,72,0.800,16.6,0.918
P00289,78,0.867,17.5,0.970
P00290,79,0.878,19.9,0.963
P00291,87,0.967,20.8,0.987
P00292,81,0.900,19.3,0.851
P00293,66,0.733,20.0,0.940
P00294,90,1.000,23.1,0.942
P00295,75,0.833,17.4,0.768
P00296,70,0.778,18.3,0.938
P00297,87,0.967,20.4,0.951
P00298,80,0.889,20.3,0.941
P00299,87,0.967,19.5,0.866
P00300,88,0.978,18.4,0.936
P00301,77,0.856,17.7,0.958
P00302,71,0.789,15.2,0.912
P00303,65,0.722,20.2,0.894
P00304,76,0.844,15.1,0.874
P00305,74,0.822,14.1,0.839
P00306,90,1.000,15.2,0.919
P00307,79,0.878,16.2,0.946
P00308,89,0.989,18.3,0.713
P00309,65,0.722,19.1,0.978
P00310,81,0.900,15.4,0.958
P00311,74,0.822,17.5,0.986
P00312,90,1.000,20.0,0.813
P00313,76,0.844,15.8,0.935
P00314,90,1.000,21.9,0.818
P00315,82,0.911,18.5,0.930
P00316,76,0.844,20.0,0.944
P00317,68,0.756,24.7,0.828
P00318,84,0.933,20.4,0.888
P00319,72,0.800,17.3,0.858
P00320,73,0.811,18.2,0.959
P00321,76,0.844,18.7,0.870
P00322,84,0.933,18.4,0.975
P00323,77,0.856,18.1,0.862
P00324,67,0.744,13.4,0.904
P00325,84,0.933,22.8,0.748
P00326,70,0.778,14.7,0.970
P00327,84,0.933,17.0,0.808
P00328,78,0.867,18.7,0.959
P00329,83,0.922,22.8,0.903
P00330,81,0.900,21.8,0.860
P00331,73,0.811,21.3,0.905
P00332,89,0.989,19.1,0.914
P00333,76,0.844,25.0,0.868
P00334,89,0.989,14.4,0.834
P00335,72,0.800,17.5,0.897
P00336,76,0.844,19.0,0.856
P00337,81,0.900,17.8,0.764
P00338,76,0.844,17.6,0.946
P00339,72,0.800,17.6,0.967
P00340,74,0.822,19.0,0.938
P00341,81,0.900,23.2,0.965
P00342,90,1.000,16.7,0.861
P00343,65,0.722,17.1,0.958
P00344,80,0.889,20.2,0.824
P00345,76,0.844,20.7,0.829
P00346,90,1.000,13.9,0.908
P00347,76,0.844,20.5,0.964
P00348,68,0.756,12.4,0.958
P00349,74,0.822,20.2,0.981
P00350,68,0.756,18.1,0.911
P00351,76,0.844,16.3,0.927
P00352,77,0.856,21.0,0.896
P00353,79,0.878,16.4,0.934
P00354,71,0.789,19.1,0.973
