stage_label,count
assessed_eligibility,1350
excluded,150
excluded_reason_not_meeting_criteria,45
excluded_reason_refused,85
excluded_reason_other,20
randomized,1200
allocated_AI_MS,296
allocated_AI_C,303
allocated_Human_MS,297
allocated_Human_C,304
received_intervention_AI_MS,296
received_intervention_AI_C,303
received_intervention_Human_MS,297
received_intervention_Human_C,304
lost_t1_AI_MS,24
lost_t1_AI_C,26
lost_t1_Human_MS,23
lost_t1_Human_C,24
lost_t2_AI_MS,22
lost_t2_AI_C,24
lost_t2_Human_MS,21
lost_t2_Human_C,23
analysed_t1_AI_MS,272
analysed_t1_AI_C,277
analysed_t1_Human_MS,274
analysed_t1_Human_C,280
analysed_t2_AI_MS,250
analysed_t2_AI_C,253
analysed_t2_Human_MS,253
analysed_t2_Human_C,257
