pid,site,fid,age_m,sex_code,ses_z,arm_code,partner_code,content_code
P00001,10,F0443,54.0,1,0.01,A2,X1,M2
P00002,5,F0856,58.0,1,-0.11,A1,X1,M1
P00003,1,F0261,68.0,2,0.19,A2,X1,M2
P00004,6,F0652,55.0,1,-0.51,B1,X2,M1
P00005,5,F0783,71.0,1,1.05,A1,X1,M1
P00006,3,F0792,55.0,1,-0.41,B1,X2,M1
P00007,12,F0030,58.0,2,1.89,B2,X2,M2
P00008,9,F0746,71.0,1,-0.83,A2,X1,M2
P00009,8,F0986,56.0,2,0.13,A2,X1,M2
P00010,12,F0390,51.0,1,1.31,B2,X2,M2
P00011,2,F0227,62.0,2,-0.87,A2,X1,M2
P00012,5,F0904,63.0,1,-0.13,A1,X1,M1
P00013,7,F0831,71.0,2,0.41,B1,X2,M1
P00014,7,F0994,63.0,1,2.13,B2,X2,M2
P00015,1,F0851,60.0,2,2.10,B2,X2,M2
P00016,3,F0933,48.0,2,-0.11,B1,X2,M1
P00017,4,F0525,58.0,2,0.90,B2,X2,M2
P00018,1,F0850,64.0,2,-1.25,B1,X2,M1
P00019,10,F0848,67.0,2,0.37,B1,X2,M1
P00020,4,F0952,57.0,1,1.23,A1,X1,M1
P00021,3,F0987,53.0,1,-0.27,B2,X2,M2
P00022,8,F1014,75.0,1,-0.66,A1,X1,M1
P00023,7,F0301,59.0,1,-1.95,B2,X2,M2
P00024,12,F0948,75.0,1,0.22,A1,X1,M1
P00025,12,F0102,64.0,2,-0.29,A1,X1,M1
P00026,3,F0370,59.0,2,-2.05,B2,X2,M2
P00027,1,F0197,60.0,1,-0.10,B1,X2,M1
P00028,10,F0602,48.0,2,0.13,B1,X2,M1
P00029,1,F0031,48.0,2,1.79,B2,X2,M2
P00030,3,F0637,64.0,1,-1.13,B1,X2,M1
P00031,10,F0805,77.0,2,1.28,B2,X2,M2
P00032,12,F0942,62.0,1,-1.37,A1,X1,M1
P00033,2,F0252,71.0,1,2.80,A2,X1,M2
P00034,1,F0955,63.0,2,-1.14,B2,X2,M2
P00035,5,F0814,67.0,1,-0.02,A2,X1,M2
P00036,4,F0949,55.0,1,-1.98,A2,X1,M2
P00037,10,F0956,55.0,1,-2.57,A1,X1,M1
P00038,1,F0582,69.0,2,0.64,B1,X2,M1
P00039,7,F0432,51.0,2,0.84,A2,X1,M2
P00040,9,F0272,60.0,1,0.32,B1,X2,M1
P00041,10,F0188,50.0,1,-0.34,B1,X2,M1
P00042,3,F0183,48.0,2,-0.40,B1,X2,M1
P00043,4,F1021,50.0,2,-1.51,B1,X2,M1
P00044,3,F0666,64.0,1,-0.19,A1,X1,M1
P00045,7,F0267,54.0,2,0.26,B2,X2,M2
P00046,5,F0299,74.0,2,-0.08,B2,X2,M2
P00047,7,F0042,53.0,1,1.09,B1,X2,M1
P00048,6,F1004,72.0,1,2.16,A1,X1,M1
P00049,1,F0800,76.0,2,-0.01,B1,X2,M1
P00050,6,F0357,65.0,2,1.25,A1,X1,M1
P00051,4,F0667,62.0,2,-0.53,B2,X2,M2
P00052,8,F0383,67.0,1,-1.25,B2,X2,M2
P00053,9,F0239,69.0,2,-0.43,A2,X1,M2
P00054,8,F1006,61.0,1,-1.90,B2,X2,M2
P00055,3,F0703,52.0,1,0.14,A2,X1,M2
P00056,3,F0204,69.0,2,-1.00,A2,X1,M2
P00057,7,F0426,71.0,2,0.21,B2,X2,M2
P00058,8,F0919,63.0,2,1.01,A1,X1,M1
P00059,2,F0886,77.0,2,0.73,A2,X1,M2
P00060,3,F0990,60.0,2,-0.20,A1,X1,M1
P00061,12,F0495,52.0,2,-1.20,A2,X1,M2
P00062,1,F0499,51.0,2,-0.11,A1,X1,M1
P00063,8,F0121,54.0,2,-0.15,A2,X1,M2
