pid,msu_t0,msu_t1,coop_ms_t0,coop_ms_t1,share_t0,share_t1
P00001,2,2.0,0.000,0.000,0.175,0.140
P00002,1,4.0,0.000,0.000,0.602,0.804
P00003,1,1.0,0.000,0.124,0.290,0.515
P00004,3,8.0,0.000,0.077,0.510,0.468
P00005,2,7.0,0.000,0.000,0.568,0.730
P00006,2,7.0,0.000,0.000,0.178,0.084
P00007,0,,0.000,,0.046,
P00008,0,0.0,0.000,0.000,0.367,0.367
P00009,5,5.0,0.000,0.124,0.533,0.594
P00010,1,2.0,0.000,0.000,0.556,0.714
P00011,1,1.0,0.117,0.054,0.436,0.503
P00012,0,9.0,0.000,0.034,0.272,0.242
P00013,6,9.0,0.123,0.233,0.601,0.609
P00014,2,2.0,0.868,1.000,0.658,0.715
P00015,1,1.0,0.000,0.000,0.484,0.626
P00016,1,8.0,0.000,0.000,0.519,0.706
P00017,1,3.0,0.319,0.344,0.426,0.461
P00018,3,,0.000,,0.789,
P00019,4,7.0,0.155,0.135,0.751,0.750
P00020,3,,0.000,,0.534,
P00021,4,5.0,0.000,0.000,0.422,0.470
P00022,0,1.0,0.000,0.260,0.319,0.374
P00023,0,,0.000,,0.045,
P00024,6,13.0,0.226,0.226,0.369,0.398
P00025,1,3.0,0.000,0.016,0.385,0.464
P00026,2,8.0,0.000,0.131,0.209,0.103
P00027,2,4.0,0.750,1.000,0.633,0.499
P00028,1,6.0,0.000,0.027,0.238,0.254
P00029,1,1.0,0.000,0.032,0.209,0.169
P00030,1,8.0,0.159,0.237,0.391,0.447
P00031,6,8.0,0.254,0.197,0.016,0.127
P00032,1,5.0,0.000,0.174,0.410,0.513
P00033,2,2.0,0.757,1.000,0.279,0.356
P00034,2,2.0,0.000,0.059,0.225,0.128
P00035,2,5.0,0.000,0.155,0.369,0.482
P00036,1,3.0,0.000,0.000,0.286,0.243
P00037,2,4.0,0.000,0.220,0.016,0.000
P00038,1,4.0,0.964,1.000,0.443,0.463
P00039,0,1.0,0.000,0.000,0.380,0.358
P00040,7,13.0,0.178,0.307,0.796,1.000
P00041,2,6.0,0.000,0.190,0.361,0.649
P00042,2,4.0,0.000,0.141,0.336,0.354
P00043,0,2.0,0.000,0.016,0.263,0.289
P00044,2,4.0,0.000,0.103,0.395,0.443
P00045,3,4.0,0.045,0.199,0.191,0.216
P00046,1,1.0,1.000,0.972,0.399,0.190
P00047,2,5.0,0.370,0.582,0.515,0.457
P00048,4,8.0,0.199,0.145,0.403,0.538
P00049,5,8.0,0.208,0.329,0.553,0.722
P00050,0,2.0,0.000,0.096,0.372,0.474
P00051,3,3.0,0.400,0.349,0.356,0.356
P00052,4,5.0,0.007,0.206,0.314,0.282
P00053,3,5.0,0.000,0.067,0.408,0.292
P00054,1,1.0,0.000,0.086,0.132,0.000
P00055,2,2.0,0.000,0.052,0.496,0.519
P00056,3,3.0,0.265,0.213,0.365,0.167
P00057,2,3.0,0.000,0.000,0.409,0.433
P00058,6,8.0,0.000,0.264,0.394,0.439
P00059,1,2.0,1.000,0.882,0.563,0.569
P00060,2,6.0,0.000,0.194,0.187,0.296
P00061,0,2.0,0.000,0.000,0.142,0.187
P00062,1,,0.127,,0.344,
P00063,2,3.0,0.000,0.000,0.122,0.280
P00064,1,4.0,0.149,0.332,0.659,0.535
P00065,3,5.0,0.442,0.524,0.590,0.620
P00066,3,5.0,0.219,0.031,0.448,0.274
P00067,5,9.0,0.910,0.780,0.770,0.771
P00068,3,4.0,0.092,0.316,0.544,0.688
P00069,0,2.0,0.552,0.487,0.538,0.492
P00070,0,2.0,0.000,0.142,0.445,0.490
P00071,1,9.0,0.000,0.337,0.324,0.301
P00072,2,2.0,0.071,0.128,0.704,0.645
P00073,4,7.0,0.781,0.849,0.734,0.702
P00074,1,3.0,0.218,0.388,0.300,0.234
P00075,2,3.0,0.007,0.000,0.274,0.102
P00076,2,4.0,0.500,0.565,0.362,0.293
P00077,4,5.0,0.138,0.216,0.364,0.292
P00078,3,10.0,0.197,0.379,0.341,0.365
P00079,0,2.0,0.000,0.000,0.448,0.494
P00080,2,3.0,0.000,0.017,0.127,0.186
P00081,4,13.0,0.260,0.472,0.385,0.504
P00082,1,2.0,0.000,0.000,0.475,0.192
P00083,2,,0.000,,0.221,
P00084,4,,0.183,,0.607,
P00085,1,1.0,0.000,0.000,0.272,0.193
P00086,0,5.0,0.000,0.000,0.274,0.283
P00087,1,10.0,0.494,0.563,0.567,0.274
P00088,1,4.0,0.000,0.016,0.304,0.164
P00089,1,4.0,0.000,0.036,0.415,0.441
P00090,2,9.0,0.000,0.000,0.855,0.984
P00091,2,5.0,0.000,0.243,0.164,0.010
P00092,3,5.0,0.188,0.148,0.725,0.742
P00093,1,5.0,0.255,0.422,0.329,0.307
P00094,0,2.0,0.000,0.000,0.209,0.144
P00095,1,1.0,0.000,0.000,0.238,0.181
P00096,1,1.0,0.000,0.000,0.763,0.835
P00097,1,8.0,0.245,0.160,0.231,0.266
P00098,0,0.0,0.000,0.000,0.556,0.557
P00099,2,3.0,0.000,0.000,0.456,0.465
P00100,2,2.0,0.000,0.000,0.504,0.267
P00101,2,8.0,0.466,0.970,0.346,0.313
P00102,2,2.0,0.000,0.000,0.394,0.672
P00103,3,,0.000,,0.365,
P00104,1,3.0,0.317,0.193,0.440,0.226
P00105,3,5.0,0.871,0.833,0.530,0.568
P00106,6,11.0,0.397,0.440,0.694,0.553
P00107,0,0.0,0.000,0.000,0.456,0.572
P00108,2,8.0,0.955,0.914,0.555,0.559
P00109,0,,0.000,,0.350,
P00110,1,3.0,0.097,0.000,0.604,0.532
P00111,3,12.0,0.027,0.273,0.667,0.759
P00112,8,9.0,0.768,0.778,0.777,0.763
P00113,7,11.0,0.580,0.568,0.571,0.660
P00114,3,8.0,0.326,0.333,0.623,0.757
P00115,2,7.0,0.096,0.133,0.179,0.365
P00116,4,8.0,0.610,0.844,0.390,0.480
P00117,4,5.0,0.000,0.085,0.141,0.383
P00118,1,2.0,0.235,0.194,0.361,0.391
P00119,1,1.0,0.000,0.066,0.452,0.562
P00120,2,2.0,0.000,0.208,0.500,0.383
P00121,3,8.0,0.428,0.465,0.611,0.581
P00122,4,7.0,0.942,0.787,0.798,0.950
P00123,3,3.0,0.000,0.117,0.562,0.425
P00124,3,9.0,0.155,0.152,0.115,0.309
P00125,3,3.0,0.256,0.396,0.239,0.170
P00126,2,4.0,0.009,0.079,0.112,0.244
P00127,3,6.0,0.360,0.471,0.505,0.646
P00128,2,3.0,0.939,0.951,0.437,0.389
P00129,2,7.0,0.000,0.156,0.160,0.051
P00130,4,6.0,0.231,0.173,0.506,0.509
P00131,2,,0.000,,0.438,
P00132,2,3.0,0.070,0.000,0.435,0.373
P00133,4,6.0,0.133,0.089,0.409,0.206
P00134,1,5.0,0.000,0.256,0.405,0.450
P00135,1,3.0,0.000,0.000,0.145,0.222
P00136,2,2.0,0.000,0.073,0.346,0.478
P00137,1,3.0,1.000,1.000,0.626,0.693
P00138,3,4.0,0.000,0.000,0.102,0.027
P00139,1,,0.219,,0.363,
P00140,0,1.0,0.000,0.000,0.509,0.412
P00141,2,3.0,0.114,0.122,0.311,0.415
P00142,1,3.0,0.000,0.165,0.455,0.605
P00143,5,8.0,0.972,0.910,0.611,0.727
P00144,1,2.0,0.310,0.507,0.581,0.572
P00145,2,6.0,0.000,0.071,0.541,0.784
P00146,4,4.0,0.541,0.650,0.384,0.318
P00147,4,4.0,0.624,0.598,0.578,0.635
P00148,3,4.0,0.226,0.315,0.424,0.418
P00149,3,,0.000,,0.412,
P00150,1,2.0,0.242,0.168,0.657,0.573
P00151,1,4.0,0.000,0.201,0.329,0.223
P00152,3,3.0,0.328,0.304,0.686,0.417
P00153,4,13.0,1.000,1.000,0.909,0.945
P00154,2,8.0,0.610,0.749,0.519,0.440
P00155,6,6.0,1.000,0.963,0.879,1.000
P00156,1,4.0,0.000,0.000,0.158,0.278
P00157,1,5.0,0.000,0.134,0.337,0.306
P00158,4,8.0,0.000,0.000,0.313,0.398
P00159,3,9.0,0.000,0.000,0.469,0.530
P00160,2,4.0,0.000,0.033,0.606,0.426
P00161,2,6.0,0.109,0.364,0.595,0.461
P00162,1,,0.000,,0.476,
P00163,0,1.0,0.000,0.000,0.559,0.658
P00164,2,6.0,0.862,0.816,0.702,0.627
P00165,3,6.0,0.364,0.476,0.439,0.504
P00166,0,0.0,0.000,0.000,0.318,0.330
P00167,1,,0.000,,0.360,
P00168,4,4.0,0.000,0.030,0.505,0.407
P00169,0,0.0,0.000,0.000,0.459,0.418
P00170,1,5.0,0.000,0.090,0.232,0.179
P00171,1,8.0,0.000,0.076,0.240,0.339
P00172,3,3.0,0.000,0.180,0.337,0.298
P00173,2,3.0,0.871,0.777,0.221,0.112
P00174,0,0.0,0.000,0.011,0.248,0.239
P00175,0,2.0,0.000,0.032,0.174,0.410
P00176,4,6.0,0.000,0.072,0.448,0.480
P00177,0,2.0,0.000,0.000,0.449,0.700
P00178,0,2.0,0.000,0.073,0.420,0.396
P00179,3,6.0,0.355,0.633,0.389,0.374
P00180,2,6.0,0.197,0.236,0.476,0.400
P00181,0,1.0,0.000,0.000,0.489,0.490
P00182,2,2.0,0.000,0.046,0.479,0.412
P00183,3,4.0,0.112,0.000,0.533,0.382
P00184,0,5.0,0.000,0.044,0.098,0.053
P00185,4,7.0,0.475,0.755,0.603,0.633
P00186,3,10.0,0.000,0.107,0.423,0.469
P00187,0,3.0,0.000,0.265,0.253,0.363
P00188,3,6.0,0.000,0.000,0.321,0.160
P00189,2,2.0,0.000,0.000,0.441,0.407
P00190,1,5.0,0.236,0.309,0.245,0.281
P00191,4,5.0,0.000,0.000,0.484,0.641
P00192,2,3.0,0.000,0.001,0.349,0.345
P00193,2,5.0,0.000,0.210,0.307,0.439
P00194,6,14.0,0.023,0.066,0.454,0.396
P00195,1,4.0,0.061,0.295,0.458,0.571
P00196,1,2.0,0.796,0.848,0.313,0.340
P00197,3,4.0,0.076,0.016,0.531,0.614
P00198,2,12.0,0.000,0.000,0.157,0.146
P00199,2,4.0,0.000,0.061,0.290,0.082
P00200,0,3.0,0.000,0.000,0.000,0.085
P00201,1,2.0,0.000,0.000,0.100,0.083
P00202,2,2.0,0.000,0.124,0.380,0.385
P00203,0,,0.899,,0.756,
P00204,1,1.0,0.101,0.000,0.116,0.283
P00205,0,7.0,0.000,0.264,0.168,0.161
P00206,1,3.0,1.000,1.000,0.814,0.656
