pid,time_code,item,domain_code,resp
P00001,T1,TOM01,D1,0.0
P00002,T1,TOM01,D1,0.0
P00003,T1,TOM01,D1,0.0
P00004,T1,TOM01,D1,0.0
P00005,T1,TOM01,D1,0.0
P00006,T1,TOM01,D1,1.0
P00007,T1,TOM01,D1,0.0
P00008,T1,TOM01,D1,1.0
P00009,T1,TOM01,D1,0.0
P00010,T1,TOM01,D1,0.0
P00011,T1,TOM01,D1,0.0
P00012,T1,TOM01,D1,0.0
P00013,T1,TOM01,D1,0.0
P00014,T1,TOM01,D1,1.0
P00015,T1,TOM01,D1,1.0
P00016,T1,TOM01,D1,0.0
P00017,T1,TOM01,D1,1.0
P00018,T1,TOM01,D1,0.0
P00019,T1,TOM01,D1,0.0
P00020,T1,TOM01,D1,0.0
P00021,T1,TOM01,D1,1.0
P00022,T1,TOM01,D1,0.0
P00023,T1,TOM01,D1,0.0
P00024,T1,TOM01,D1,0.0
P00025,T1,TOM01,D1,1.0
P00026,T1,TOM01,D1,0.0
P00027,T1,TOM01,D1,1.0
P00028,T1,TOM01,D1,0.0
P00029,T1,TOM01,D1,0.0
P00030,T1,TOM01,D1,1.0
P00031,T1,TOM01,D1,1.0
P00032,T1,TOM01,D1,0.0
P00033,T1,TOM01,D1,1.0
P00034,T1,TOM01,D1,0.0
P00035,T1,TOM01,D1,0.0
P00036,T1,TOM01,D1,0.0
P00037,T1,TOM01,D1,0.0
P00038,T1,TOM01,D1,1.0
P00039,T1,TOM01,D1,0.0
P00040,T1,TOM01,D1,1.0
P00041,T1,TOM01,D1,0.0
P00042,T1,TOM01,D1,0.0
P00043,T1,TOM01,D1,0.0
P00044,T1,TOM01,D1,0.0
P00045,T1,TOM01,D1,0.0
P00046,T1,TOM01,D1,1.0
P00047,T1,TOM01,D1,1.0
P00048,T1,TOM01,D1,0.0
P00049,T1,TOM01,D1,1.0
P00050,T1,TOM01,D1,0.0
P00051,T1,TOM01,D1,1.0
P00052,T1,TOM01,D1,0.0
P00053,T1,TOM01,D1,0.0
P00054,T1,TOM01,D1,1.0
P00055,T1,TOM01,D1,0.0
P00056,T1,TOM01,D1,0.0
P00057,T1,TOM01,D1,0.0
P00058,T1,TOM01,D1,0.0
P00059,T1,TOM01,D1,1.0
P00060,T1,TOM01,D1,0.0
P00061,T1,TOM01,D1,0.0
P00062,T1,TOM01,D1,1.0
P00063,T1,TOM01,D1,0.0
P00064,T1,TOM01,D1,1.0
P00065,T1,TOM01,D1,1.0
P00066,T1,TOM01,D1,1.0
P00067,T1,TOM01,D1,1.0
P00068,T1,TOM01,D1,0.0
P00069,T1,TOM01,D1,1.0
P00070,T1,TOM01,D1,0.0
P00071,T1,TOM01,D1,1.0
P00072,T1,TOM01,D1,0.0
P00073,T1,TOM01,D1,1.0
P00074,T1,TOM01,D1,1.0
